Timestamp,X_Base,Y_Base,Z_Base,State_Context
2026-05-18 13:13:59,0.5117,-0.0484,-0.3791,First Scan (Centering)
2026-05-18 13:14:02,0.5161,-0.0495,-0.3799,Second Scan (Final Approach)
2026-05-18 13:14:31,0.5136,0.0016,-0.3753,First Scan (Centering)
2026-05-18 13:14:35,0.5138,0.0015,-0.3752,Second Scan (Final Approach)
2026-05-18 13:15:03,0.5016,-0.0523,-0.3757,First Scan (Centering)
2026-05-18 13:15:06,0.5007,-0.0534,-0.3738,Second Scan (Final Approach)
2026-05-18 13:15:36,0.5277,0.0694,-0.3716,First Scan (Centering)
2026-05-18 13:15:40,0.5145,0.0997,-0.3830,Second Scan (Final Approach)
2026-05-18 13:16:10,0.5543,-0.1158,-0.3699,First Scan (Centering)
2026-05-18 13:16:15,0.6410,-0.0910,-0.4220,Second Scan (Final Approach)
