Timestamp,X_Base,Y_Base,Z_Base,State_Context
2026-05-18 13:20:18,0.4873,-0.0478,-0.3763,First Scan (Centering)
2026-05-18 13:20:37,0.4784,-0.0565,-0.3752,Second Scan (Final Approach)
2026-05-18 13:21:37,0.4752,-0.0481,-0.3759,First Scan (Centering)
2026-05-18 13:21:41,0.4775,-0.0472,-0.3735,Second Scan (Final Approach)
2026-05-18 13:22:40,0.4895,0.0385,-0.3685,First Scan (Centering)
2026-05-18 13:22:44,0.4936,0.0282,-0.3746,Second Scan (Final Approach)
2026-05-18 13:23:12,0.6295,-0.0271,-0.3716,First Scan (Centering)
2026-05-18 13:23:17,0.6386,-0.0287,-0.3891,Second Scan (Final Approach)
2026-05-18 13:23:45,0.5842,-0.0810,-0.3771,First Scan (Centering)
2026-05-18 13:23:49,0.4952,-0.0500,-0.4067,Second Scan (Final Approach)
2026-05-18 13:24:19,0.5131,-0.0111,-0.3773,First Scan (Centering)
2026-05-18 13:24:22,0.5135,-0.0110,-0.3780,Second Scan (Final Approach)
2026-05-18 13:24:50,0.5239,-0.0676,-0.3783,First Scan (Centering)
2026-05-18 13:24:54,0.5224,-0.0682,-0.3783,Second Scan (Final Approach)
2026-05-18 13:25:22,0.5305,-0.0994,-0.3746,First Scan (Centering)
2026-05-18 13:25:27,0.5244,-0.0897,-0.3717,Second Scan (Final Approach)
2026-05-18 13:25:55,0.5032,-0.0151,-0.3753,First Scan (Centering)
2026-05-18 13:25:58,0.5037,-0.0135,-0.3749,Second Scan (Final Approach)
2026-05-18 13:26:26,0.5265,0.0665,-0.3641,First Scan (Centering)
2026-05-18 13:26:30,0.5249,0.0561,-0.3743,Second Scan (Final Approach)
2026-05-18 13:26:58,0.5110,-0.1283,-0.3750,First Scan (Centering)
2026-05-18 13:27:03,0.5080,-0.1164,-0.3740,Second Scan (Final Approach)
2026-05-18 13:27:31,0.5824,-0.0337,-0.3698,First Scan (Centering)
2026-05-18 13:27:35,0.5777,-0.0345,-0.3778,Second Scan (Final Approach)
2026-05-18 13:28:03,0.4713,-0.0728,-0.3773,First Scan (Centering)
2026-05-18 13:28:15,0.4639,-0.0829,-0.3782,Second Scan (Final Approach)
2026-05-18 13:28:43,0.5760,-0.1835,-0.3599,First Scan (Centering)
2026-05-18 13:28:48,0.5681,-0.1714,-0.3766,Second Scan (Final Approach)
2026-05-18 13:29:17,0.6067,-0.0004,-0.3699,First Scan (Centering)
2026-05-18 13:29:21,0.6046,-0.0041,-0.3831,Second Scan (Final Approach)
2026-05-18 13:29:49,0.6644,-0.2469,-0.3787,First Scan (Centering)
2026-05-18 13:29:56,0.6192,-0.1771,-0.3711,Second Scan (Final Approach)
2026-05-18 13:30:24,0.4928,-0.2105,-0.3539,First Scan (Centering)
2026-05-18 13:30:29,0.4823,-0.1933,-0.3744,Second Scan (Final Approach)
2026-05-18 13:30:58,0.5142,-0.0918,-0.3747,First Scan (Centering)
2026-05-18 13:31:02,0.5115,-0.0896,-0.3757,Second Scan (Final Approach)
2026-05-18 13:31:31,0.6569,-0.1447,-0.3663,First Scan (Centering)
2026-05-18 13:31:36,0.6884,-0.1314,-0.3865,Second Scan (Final Approach)
